Trial,VERB,UL,LL,UR,LR
1A SEM,CLIMBS,PT,D2,ST,D1
1B SEM,SITTING,D2,PT,D1,ST
2A SEM,TAKE,D1,ST,D2,PT
2B SEM,DRINK,ST,D1,PT,D2
3A SEM,SEES,D2,PT,D1,ST
3B SEM,POINTS,PT,D2,ST,D1
4A SEM,FLY,ST,D1,PT,D2
4B SEM,RIDING,D1,ST,D2,PT
5A SEM,LIGHT,PT,D2,ST,D1
5B SEM,WEARS,D2,PT,D1,ST
6A SEM,SAILS,D1,ST,D2,PT
6B SEM,SLEEP,ST,D1,PT,D2
7A SEM,CUTTING,D2,PT,D1,ST
7B SEM,SCOOPS,PT,D2,ST,D1
8A SEM,THROWS,ST,D1,PT,D2
8B SEM,DIALS,D1,ST,D2,PT
1A PHON,POURS,PT,D2,ST,D1
1B PHON,WAVING,D2,PT,D1,ST
2A PHON,READS,D1,ST,D2,PT
2B PHON,FLAPPING,ST,D1,PT,D2
3A PHON,PUT,D2,PT,D1,ST
3B PHON,ROW,PT,D2,ST,D1
4A PHON,KNOW,ST,D1,PT,D2
4B PHON,SPEND,D1,ST,D2,PT
5A PHON,RINGS,PT,D2,ST,D1
5B PHON,SEE,D2,PT,D1,ST
6A PHON,USING,D1,ST,D2,PT
6B PHON,BAKES,ST,D1,PT,D2
7A PHON,LOOKS,D2,PT,D1,ST
7B PHON,HAVE,PT,D2,ST,D1
8A PHON,WASH,ST,D1,PT,D2
8B PHON,GOES,D1,ST,D2,PT
