Trial,VERB,NOUN,V ONSET,N ONSET,OFFSET
1A PHON,POURS,BOWL,7.36,10.55,11.55
1A SEM,CLIMBS,TREE,7.03,10.04,11.04
2A PHON,READS,BOOK,4.02,7.88,8.88
2A SEM,TAKE,TRAIN,8.55,11.13,12.13
3A PHON,PUT,TABLE,9.38,11.89,12.89
3A SEM,SEES,STARS,5.04,8.05,9.05
4A PHON,KNOW,TIME,4.67,6.62,7.62
4A SEM,FLY,KITE,7.6,9.99,10.99
5A PHON,RINGS,BELL,10.29,12.16,13.16
5A SEM,LIGHT,FIRE,6.77,9.5,10.5
6A PHON,USING,PENCIL,8.25,11.16,12.16
6A SEM,SAILS,SHIP,6.48,10.19,11.19
7A PHON,LOOKS,MAP,8.81,11.22,12.22
7A SEM,CUTTING,GRASS,7.43,10.43,11.43
8A PHON,WASH,HANDS,11.99,15.06,16.06
8A SEM,THROWS,BALL,5.87,9.45,10.45
1B PHON,WAVING,WAND,5.71,8.74,9.74
1B SEM,SIT,CHAIR,6.31,9.28,10.28
2B PHON,FLAPPING,WINGS,6.24,9.38,10.38
2B SEM,DRINK,JUICE,4.32,6.33,7.33
3B PHON,ROW,BOAT,8.41,12.15,13.15
3B SEM,POINTS,FINGER,9.48,12.01,13.01
4B PHON,SPEND,MONEY,6.06,9.22,10.22
4B SEM,RIDING,BIKE,4.38,7.82,8.82
5B PHON,SEE,DOCTOR,8.61,10.83,11.83
5B SEM,WEARS,SHOES,9.21,12.05,13.05
6B PHON,BAKES,CAKE,7.99,11.44,12.44
6B SEM,SLEEP,BED,4.58,8.04,9.04
7B PHON,HAVE,BATH,10.94,13.46,14.46
7B SEM,SCOOPS,SPOON,7.17,12.22,13.22
8B PHON,GOES,SCHOOL,8.62,10.42,11.42
8B SEM,DIALS,PHONE,5.19,7.86,8.86
